Delegacia;Furtos na região;Roubo de carga;Roubos;Roubo de Veiculo;Furto de veiculo;Latrocinios;Homicídio doloso por acidente de trânsito;Homicídio Culposo por acidente de Trânsito;Homicídio Culposo;Tentativa de Homicídio;Lesão Corporal seguida de morte;Lesão Corporal Dolosa;Lesão Corporal Culposa por acidente de trânsito;Lesão Corporal Culposa;Estupro;Estupro de vulnerável;Roubo de veiculos;Roubo a Banco ;Ano
042 DP - Parque São Lucas;644;10;839;0;670;2;0;3;1;4;0;139;81;67;4;17;182;0;2020
042 DP - Parque São Lucas;825;12;1.059;1;893;3;0;4;0;4;0;219;137;28;6;14;202;0;2019
043 DP - Cidade Ademar;617;7;1.607;0;82;4;0;3;0;5;1;229;63;3;5;11;145;1;2020
043 DP - Cidade Ademar;961;5;1.159;0;146;2;0;1;0;10;0;245;92;4;10;19;307;0;2019
044 DP - Guaianazes;1.299;73;1.949;0;182;11;2;4;2;13;0;306;80;10;7;25;351;1;2020
044 DP - Guaianazes;1.703;44;1.806;0;237;14;0;0;0;5;0;383;112;0;7;35;534;0;2019
045 DP - Vila Brasilândia;693;30;602;0;112;9;0;3;0;4;0;258;62;4;4;25;63;0;2020
045 DP - Vila Brasilândia;748;33;830;1;109;7;0;3;0;8;1;263;90;8;10;28;189;0;2019
046 DP - Perus;1.311;141;1.431;2;242;25;0;19;0;16;0;538;174;7;10;67;336;0;2020
046 DP - Perus;1.391;303;1.623;0;386;20;0;28;0;24;0;513;174;13;17;61;499;0;2019
047 DP - Capão Redondo;1.878;139;4.314;5;256;32;0;9;0;27;1;812;235;6;12;75;311;0;2020
047 DP - Capão Redondo;1.846;246;4.061;3;317;28;0;8;0;32;1;892;365;13;20;84;381;0;2019
048 DP - Cidade Dutra;777;10;1.073;0;101;2;0;2;0;4;0;172;104;3;3;11;92;0;2020
048 DP - Cidade Dutra;1.698;10;1.014;0;152;3;0;2;0;4;0;183;139;7;5;11;137;0;2019
049 DP - São Mateus;2.195;104;2.364;2;573;15;0;6;1;16;0;408;146;6;11;36;640;0;2020
049 DP - São Mateus;2.652;135;2.636;4;899;12;0;15;0;15;0;430;201;8;16;48;1.056;0;2019
